date,province,subcategory,actual_inflation,svr_prediction,ann_prediction
2026-06-01,BENGKULU,Furnitur Perlengkapan dan Karpet,0.0,-0.09730302941598445,0.2460281853926866
2026-06-01,LAMPUNG,Tekstil Rumah Tangga,-0.37,-0.284424997767184,0.05849308241027279
2026-06-01,LAMPUNG,Barang Pecah Belah dan Peralatan Makan Minum,0.4,0.09473394928668277,0.2807476709615566
2026-06-01,ACEH,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,-0.69,-0.06193805379885653,0.3182093583857927
2026-06-01,SULAWESI TENGGARA,Furnitur Perlengkapan dan Karpet,0.04,0.2433533469680551,0.08070794112806678
2026-06-01,KALIMANTAN UTARA,Furnitur Perlengkapan dan Karpet,0.43,-0.05725610900010203,0.2506887843871217
2026-06-01,MALUKU UTARA,Peralatan dan Perlengkapan Perumahan dan Kebun,0.0,-0.17789647346655535,0.088355225128005
2026-06-01,ACEH,Peralatan dan Perlengkapan Perumahan dan Kebun,-0.5,-0.03146399672727007,0.17245939431546722
2026-06-01,SUMATERA UTARA,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,-0.01,0.36938834761502015,0.11010878909653374
2026-06-01,DI YOGYAKARTA,Furnitur Perlengkapan dan Karpet,0.0,-0.11253086448462035,0.23930242161273443
2026-06-01,MALUKU UTARA,Tekstil Rumah Tangga,7.11,-0.2696757446016793,0.07301073858404325
2026-06-01,KALIMANTAN UTARA,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,-0.31,-0.03910188725313368,0.2780769180624161
2026-06-01,BENGKULU,Peralatan dan Perlengkapan Perumahan dan Kebun,-0.28,-0.12063364090345097,0.11073798120688669
2026-06-01,SULAWESI TENGGARA,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.32,0.2739112159607995,0.0742040652418377
2026-06-01,MALUKU UTARA,Total,1.34,-0.2293581533757365,0.06216760170387903
2026-06-01,KEPULAUAN BANGKA BELITUNG,Peralatan dan Perlengkapan Perumahan dan Kebun,0.01,-0.2046417497388635,0.06649864626397878
2026-06-01,MALUKU UTARA,Peralatan Rumah Tangga,0.83,-0.0646482637780057,0.18309567153041936
2026-06-01,KALIMANTAN UTARA,Barang Pecah Belah dan Peralatan Makan Minum,2.57,0.03803702864016678,0.30337565679373746
2026-06-01,DI YOGYAKARTA,Peralatan Rumah Tangga,0.34,-0.08875996773275752,0.19098661014911547
2026-06-01,KALIMANTAN TIMUR,Total,0.0,-0.23840737285579827,0.012109568966487183
2026-06-01,NUSA TENGGARA BARAT,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.13,0.06661484822365615,0.2640685373122247
2026-06-01,ACEH,Tekstil Rumah Tangga,-0.64,-0.11028673320901738,0.03164364156782137
2026-06-01,SULAWESI TENGGARA,Barang Pecah Belah dan Peralatan Makan Minum,0.31,0.35608331444449526,0.08097635273231785
2026-06-01,KALIMANTAN TIMUR,Tekstil Rumah Tangga,0.01,-0.29540254355350193,0.02373986617645127
2026-06-01,SUMATERA UTARA,Barang Pecah Belah dan Peralatan Makan Minum,0.03,0.4395495456884557,0.10637015175603201
2026-06-01,NUSA TENGGARA BARAT,Furnitur Perlengkapan dan Karpet,0.07,0.020643584142666427,0.24988293498178374
2026-06-01,KALIMANTAN TIMUR,Peralatan dan Perlengkapan Perumahan dan Kebun,0.15,-0.21069408728936345,0.0556209672833112
2026-06-01,MALUKU,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.22,0.03259578993915646,0.28022482679056315
2026-06-01,DI YOGYAKARTA,Peralatan dan Perlengkapan Perumahan dan Kebun,-0.33,-0.14181300286898768,0.09246600511229097
2026-06-01,NUSA TENGGARA BARAT,Peralatan Rumah Tangga,0.02,-0.05378898797666842,0.16743329534718324
